id,make,model,year,Cost
596,Ford,Club Wagon,1993,"€21794,03"
597,Ram,2500,2012,"€21771,68"
598,Chevrolet,Corvette,2002,"€18469,76"
599,Ford,F250,2006,"€15502,33"
600,Maserati,Biturbo,1986,"€20659,00"
601,Audi,A4,2001,"€20869,79"
602,Toyota,Camry,2003,"€18431,56"
603,Chevrolet,Silverado 3500,2012,"€18108,22"
604,Jaguar,XJ,2012,"€2438,41"
605,Jeep,Cherokee,1994,"€15204,67"
606,Plymouth,Voyager,1992,"€12099,87"
607,Mazda,Navajo,1991,"€6305,47"
608,Volkswagen,Jetta,1991,"€15486,34"
609,Jeep,Compass,2011,"€13115,23"
610,Saturn,Relay,2007,"€13209,19"
611,Chevrolet,S10 Blazer,1993,"€22320,13"
612,Mitsubishi,Galant,2010,"€12909,96"
613,Nissan,370Z,2010,"€8034,46"
614,Infiniti,G,1992,"€22074,34"
615,Mercedes-Benz,CL-Class,2000,"€2827,40"
616,Ford,Explorer,2009,"€10873,57"
617,Kia,Sportage,2002,"€3782,14"
618,Honda,Civic Si,2005,"€18141,06"
619,Holden,VS Commodore,1995,"€8924,44"
620,Ford,Thunderbird,1986,"€18959,69"
621,Land Rover,Defender,1997,"€22801,37"
622,Lamborghini,Gallardo,2006,"€20732,95"
623,Saab,9000,1997,"€18900,36"
624,Infiniti,Q,2002,"€4574,85"
625,Lexus,LX,2011,"€18991,91"
626,Honda,Insight,2012,"€9367,27"
627,Infiniti,G,2003,"€6419,86"
628,Mitsubishi,Endeavor,2005,"€4178,60"
629,Scion,tC,2008,"€17933,97"
630,Ford,Bronco,1990,"€4819,56"
631,Toyota,RAV4,2002,"€1657,10"
632,Nissan,370Z,2009,"€13533,61"
633,Maybach,Landaulet,2012,"€21905,80"
634,Toyota,Tercel,1994,"€24842,83"
635,Chrysler,Cirrus,1995,"€13409,93"
636,Ford,F450,2011,"€17232,01"
637,Volkswagen,Jetta,1986,"€11111,43"
638,GMC,Jimmy,1997,"€7727,65"
639,Subaru,Legacy,1991,"€20488,68"
640,Mercedes-Benz,SL-Class,1992,"€18208,49"
641,Ford,Aerostar,1993,"€21288,14"
642,Lincoln,Town Car,1988,"€14977,26"
643,Mazda,929,1994,"€12791,00"
644,Volvo,S80,2004,"€23753,03"
645,Hyundai,Accent,2000,"€7933,06"
646,BMW,7 Series,2004,"€1190,76"
647,Dodge,Caravan,1998,"€14041,31"
648,Isuzu,Rodeo,1996,"€14850,69"
649,Kia,Carens,2009,"€14991,79"
650,Mazda,RX-7,1987,"€4377,86"
651,Lexus,RX Hybrid,2008,"€16106,28"
652,Lexus,RX,2002,"€11839,27"
653,BMW,525,2003,"€23594,56"
654,BMW,3 Series,1997,"€22328,50"
655,Chevrolet,Corvette,1989,"€3166,71"
656,Dodge,Intrepid,1994,"€15119,00"
657,Ford,Escort,1986,"€16852,62"
658,Acura,TSX,2006,"€12711,03"
659,GMC,Sierra 3500,2011,"€9082,32"
660,Mazda,B2600,1989,"€11099,72"
661,MINI,Clubman,2010,"€22320,37"
662,Toyota,Prius,2011,"€12137,59"
663,Chevrolet,Monte Carlo,1999,"€6244,79"
664,BMW,X6 M,2011,"€5708,41"
665,Mitsubishi,Galant,2012,"€17772,97"
666,Cadillac,CTS,2003,"€9228,77"
667,Ford,Econoline E350,1994,"€6475,28"
668,Honda,Element,2007,"€20559,61"
669,Toyota,Land Cruiser,2003,"€4668,74"
670,Porsche,911,2003,"€3767,03"
671,Mercedes-Benz,M-Class,2012,"€8506,30"
672,Toyota,Corolla,2008,"€4568,90"
673,Kia,Rio,2008,"€16489,35"
674,Saturn,Aura,2008,"€16731,37"
675,Chevrolet,Aveo,2011,"€11928,04"
676,Chevrolet,Malibu,2011,"€7610,51"
677,Buick,Century,1999,"€1612,75"
678,Chevrolet,Camaro,2012,"€3635,83"
679,Dodge,Ram 2500,2004,"€13917,74"
680,Buick,Century,1985,"€21893,94"
681,Acura,MDX,2005,"€24367,64"
682,Audi,TT,2008,"€7888,46"
683,Chevrolet,Cavalier,1994,"€20003,48"
684,Honda,Element,2011,"€11046,52"
685,Volkswagen,Jetta,1986,"€15148,12"
686,Ford,F150,2003,"€10298,40"
687,Mitsubishi,Chariot,1991,"€23080,60"
688,Dodge,Ram 50,1992,"€10947,32"
689,Ford,Thunderbird,2002,"€21142,24"
690,Hyundai,Tiburon,2007,"€4475,15"
691,Buick,Riviera,1997,"€9596,97"
692,Acura,RL,2006,"€9202,91"
693,Honda,Passport,1994,"€19292,27"
694,Porsche,928,1994,"€6589,86"
695,GMC,Sonoma,2004,"€12966,65"
696,Nissan,Versa,2007,"€17081,02"
697,Chevrolet,APV,1992,"€4729,23"
698,Land Rover,Range Rover,1996,"€14029,18"
699,Mercedes-Benz,400SEL,1993,"€12752,93"
700,Audi,A8,2000,"€13254,74"
701,Dodge,Ram Van 1500,1995,"€3899,12"
702,Infiniti,QX,2011,"€19318,99"
703,Chevrolet,Tahoe,2006,"€19512,11"
704,Mitsubishi,Montero Sport,2004,"€23152,58"
705,GMC,Savana 3500,1998,"€15292,38"
706,Mazda,B-Series,1986,"€7942,22"
707,Audi,riolet,1996,"€12353,60"
708,Chevrolet,G-Series G10,1992,"€6251,14"
709,Honda,Civic,1991,"€16977,06"
710,Jeep,Wrangler,2006,"€15475,65"
711,Bentley,Azure,2010,"€10152,61"
712,BMW,Z8,2000,"€3070,98"
713,GMC,Sierra 3500,2008,"€1510,48"
714,Chevrolet,Avalanche,2007,"€13964,85"
715,Hyundai,Accent,2008,"€5492,71"
716,Ford,Explorer Sport Trac,2000,"€19641,01"
717,Mercedes-Benz,300D,1992,"€7748,32"
718,Hyundai,Veloster,2012,"€12410,02"
719,Ford,Focus,2006,"€19139,42"
720,Lexus,LS,2007,"€9600,38"
721,BMW,3 Series,1994,"€12063,17"
722,Ford,Focus,2012,"€24933,46"
723,Saturn,Ion,2003,"€22998,60"
724,Mitsubishi,Mighty Max,1986,"€7398,61"
725,Isuzu,Amigo,1994,"€4954,88"
726,Spyker,C8 Spyder Wide Body,2004,"€6869,54"
727,Pontiac,Sunfire,2005,"€15976,34"
728,Saab,900,1984,"€16375,63"
729,Mitsubishi,Truck,1985,"€12538,40"
730,GMC,Vandura 1500,1992,"€22032,38"
731,Mazda,MPV,2002,"€13543,10"
732,Saturn,Ion,2003,"€21377,95"
733,Mazda,Mazda3,2012,"€18238,23"
734,Pontiac,Grand Am,1995,"€17977,05"
735,Ford,Taurus,1993,"€5357,74"
736,Buick,Riviera,1990,"€24902,63"
737,Honda,Accord,1991,"€2724,36"
738,Suzuki,SX4,2012,"€22183,70"
739,Pontiac,Grand Prix,2006,"€7837,39"
740,Isuzu,i-350,2006,"€16386,90"
741,Honda,Accord,2008,"€18583,39"
742,Chevrolet,Express 2500,2010,"€2077,51"
743,Studebaker,Avanti,1961,"€2219,56"
744,Jeep,Liberty,2005,"€24405,54"
745,BMW,7 Series,1998,"€1516,26"
746,Audi,5000S,1984,"€16180,36"
747,Chrysler,New Yorker,1994,"€7960,57"
748,Ford,Explorer Sport Trac,2001,"€14411,41"
749,Infiniti,J,1994,"€14918,45"
750,Mercury,Grand Marquis,1990,"€1050,66"
751,Nissan,Altima,2008,"€9607,68"
752,Ford,Crown Victoria,1997,"€24085,70"
753,Jaguar,XJ Series,1992,"€8340,52"
754,Lincoln,MKS,2010,"€23504,81"
755,Geo,Storm,1992,"€15094,90"
756,Volkswagen,Golf,1997,"€6778,21"
757,Mazda,MX-3,1994,"€13172,68"
758,Dodge,Grand Caravan,1996,"€22908,97"
759,Buick,Roadmaster,1991,"€6855,16"
760,Lexus,RX Hybrid,2006,"€22259,71"
761,Ford,Escape,2013,"€15379,10"
762,Mitsubishi,Galant,1993,"€12539,00"
763,Subaru,Forester,2012,"€19900,70"
764,Isuzu,Space,1994,"€22480,65"
765,Mazda,Mazda3,2012,"€12828,60"
766,Mazda,Protege,2001,"€24136,52"
767,BMW,545,2005,"€9123,89"
768,Maybach,57,2011,"€9876,18"
769,Lincoln,Continental,1984,"€17594,94"
770,Mitsubishi,Truck,1991,"€7227,64"
771,Volvo,C70,2004,"€21771,10"
772,Hyundai,Veracruz,2011,"€16672,72"
773,Mitsubishi,Montero,2002,"€14848,45"
774,GMC,Yukon XL 2500,2010,"€14281,00"
775,BMW,Z4 M,2006,"€10024,68"
776,Mazda,MX-6,1995,"€17250,68"
777,Honda,Pilot,2004,"€4894,59"
778,Mitsubishi,Chariot,1990,"€7113,62"
779,Maserati,Gran Sport,2006,"€21368,65"
780,Pontiac,Safari,1989,"€8482,37"
781,BMW,X6,2010,"€16917,42"
782,Maserati,228,1989,"€6584,90"
783,Jeep,Comanche,1992,"€18283,89"
784,GMC,Sierra 1500,2002,"€22345,48"
785,Acura,Vigor,1992,"€3102,01"
786,Chevrolet,S10,1994,"€3075,06"
787,Hummer,H1,1995,"€14766,96"
788,Mercedes-Benz,E-Class,1993,"€16817,53"
789,Lamborghini,Gallardo,2010,"€21615,13"
790,Mercedes-Benz,SLK-Class,2011,"€19721,18"
791,Volkswagen,Jetta,1989,"€19647,46"
792,Buick,Lucerne,2009,"€23894,52"
793,Chevrolet,Express 1500,2010,"€24239,59"
794,Ram,3500,2011,"€19000,48"
795,Lexus,RX,2012,"€13953,77"
796,Nissan,Armada,2006,"€23719,45"
797,Aston Martin,Vanquish S,2005,"€3289,11"
798,Mazda,MX-5,1990,"€21427,43"
799,Mitsubishi,3000GT,1997,"€8926,13"
800,Ford,Ranger,2005,"€15244,59"
801,Buick,Electra,1987,"€2597,85"
802,Ford,E-Series,2003,"€3459,18"
803,Acura,ZDX,2012,"€15072,15"
804,Isuzu,Oasis,1996,"€5676,23"
805,Pontiac,6000,1986,"€11851,61"
806,Volvo,S80,2011,"€5244,44"
807,Mercury,Grand Marquis,1989,"€7153,54"
808,BMW,Z3,1999,"€15298,84"
809,Chrysler,Pacifica,2008,"€17989,28"
810,Hyundai,Elantra,1997,"€8536,25"
811,Geo,Metro,1995,"€8951,58"
812,GMC,Safari,1994,"€7934,77"
813,Lincoln,MKS,2010,"€4899,19"
814,Toyota,Avalon,1995,"€10423,73"
815,Cadillac,Seville,2002,"€16616,94"
816,Ford,Tempo,1987,"€17120,60"
817,Volkswagen,Eurovan,1999,"€10633,40"
818,Volkswagen,CC,2011,"€2290,62"
819,Lincoln,LS,2006,"€16305,47"
820,Land Rover,Range Rover,2000,"€17095,39"
821,Lexus,RX,2004,"€20735,68"
822,Ford,Expedition,1998,"€23386,41"
823,Hyundai,Veloster,2012,"€9032,61"
824,Toyota,Avalon,2001,"€17257,82"
825,Ford,Aerostar,1991,"€24935,37"
826,Volkswagen,New Beetle,2006,"€21184,19"
827,Ford,Escort,2004,"€14040,94"
828,Nissan,Sentra,1994,"€17736,15"
829,Honda,Passport,1997,"€7973,39"
830,Lexus,GS,2003,"€2465,49"
831,Lexus,LS Hybrid,2011,"€1969,54"
832,Toyota,Tacoma Xtra,2003,"€19032,72"
833,Infiniti,FX,2004,"€4411,29"
834,Honda,Civic,2006,"€15751,38"
835,Isuzu,i-280,2006,"€4995,39"
836,Toyota,Echo,2002,"€23485,26"
837,Mazda,MX-5,2008,"€19061,15"
838,Chevrolet,Silverado 2500,2005,"€1294,78"
839,Kia,Optima,2008,"€1329,69"
840,Isuzu,Rodeo,1999,"€17060,16"
841,Ford,F-Series Super Duty,2012,"€15431,81"
842,Ford,Ranger,1988,"€20525,02"
843,Honda,Insight,2002,"€12691,71"
844,Isuzu,i-370,2008,"€24609,12"
845,Hyundai,Veracruz,2008,"€17481,50"
846,Infiniti,EX,2012,"€20049,69"
847,Maybach,62,2007,"€13845,37"
848,Audi,5000S,1984,"€11128,89"
849,Acura,RSX,2003,"€16414,31"
850,Volkswagen,Routan,2012,"€12904,16"
851,Buick,Terraza,2007,"€22692,26"
852,Chrysler,300,2006,"€15828,64"
853,Chevrolet,Camaro,1993,"€10206,92"
854,Toyota,RAV4,1998,"€14470,96"
855,Volkswagen,GTI,1989,"€1542,92"
856,Dodge,Ram 3500,1997,"€10836,31"
857,Dodge,Caravan,1995,"€15649,20"
858,Mazda,Miata MX-5,2007,"€5177,11"
859,Ford,Bronco II,1984,"€11049,79"
860,Dodge,Ram 1500,1999,"€4144,09"
861,Mazda,B-Series Plus,2002,"€11901,83"
862,BMW,M6,2010,"€11204,29"
863,Hyundai,Genesis Coupe,2011,"€24769,32"
864,Hyundai,Sonata,2000,"€6582,62"
865,Toyota,T100,1996,"€17007,21"
866,Volkswagen,Eos,2009,"€15017,78"
867,GMC,Rally Wagon 2500,1993,"€20295,87"
868,Suzuki,SJ 410,1986,"€19886,41"
869,Bentley,Continental GT,2008,"€14588,23"
870,Mazda,Mazda6,2005,"€1935,90"
871,Infiniti,EX,2011,"€10180,84"
872,Pontiac,Grand Prix,1986,"€4501,23"
873,Ford,Econoline E150,1997,"€11326,75"
874,Ford,Escape,2006,"€18592,53"
875,Nissan,Armada,2006,"€16183,62"
876,Chevrolet,Silverado 3500,2004,"€13816,36"
877,Ford,Mustang,1979,"€14063,01"
878,Toyota,RAV4,2000,"€11683,90"
879,Nissan,370Z,2011,"€12121,20"
880,GMC,Sonoma Club Coupe,1998,"€20556,95"
881,GMC,2500 Club Coupe,1993,"€21053,69"
882,BMW,8 Series,1996,"€12195,69"
883,Ford,Econoline E250,1996,"€6662,17"
884,Nissan,GT-R,2009,"€23754,98"
885,Suzuki,Swift,1996,"€3846,34"
886,Jeep,Grand Cherokee,2012,"€2187,74"
887,Pontiac,Firebird,1996,"€23001,55"
888,Volvo,850,1993,"€13973,66"
889,Lincoln,Continental Mark VII,1987,"€22130,73"
890,Dodge,Ram 2500 Club,1999,"€24481,50"
891,Hyundai,Veloster,2013,"€11280,36"
892,Lamborghini,Diablo,2001,"€24316,19"
893,Mitsubishi,Pajero,1998,"€11648,66"
894,Porsche,911,2006,"€20922,63"
895,Volkswagen,Golf,1983,"€20683,51"
896,Mercury,Cougar,1968,"€22119,20"
897,Buick,Skylark,1987,"€19480,78"
898,Hyundai,Tucson,2012,"€23714,92"
899,Chevrolet,Caprice Classic,1993,"€2071,92"
900,Scion,tC,2012,"€3409,11"
901,Acura,Integra,1997,"€21208,73"
902,GMC,Sierra 1500,1999,"€17454,40"
903,Chrysler,PT Cruiser,2001,"€13649,64"
904,Mazda,Navajo,1992,"€20936,42"
905,BMW,7 Series,1997,"€21256,88"
906,Mazda,B-Series,1990,"€10426,92"
907,Dodge,Ram,1994,"€2790,39"
908,Volvo,740,1992,"€16662,29"
909,Mazda,626,2002,"€17427,59"
910,Bentley,Continental GTC,2007,"€13056,22"
911,Volkswagen,Cabriolet,1990,"€19630,33"
912,Hyundai,Accent,2008,"€15819,42"
913,Volkswagen,Tiguan,2012,"€3671,00"
914,Volvo,S60,2003,"€6469,73"
915,Chevrolet,Corvette,1967,"€14211,59"
916,Chevrolet,Corvette,2003,"€23875,59"
917,GMC,Savana 1500,2005,"€3938,86"
918,Jaguar,XJ Series,2000,"€19150,81"
919,Mazda,Mazda3,2006,"€16712,81"
920,Saab,9-5,2003,"€2563,98"
921,Aston Martin,Rapide,2012,"€23545,95"
922,Mercury,Grand Marquis,2002,"€23575,18"
923,Chevrolet,Silverado,2006,"€19402,63"
924,Pontiac,Sunbird,1991,"€14894,52"
925,Audi,5000S,1987,"€18033,62"
926,Kia,Sephia,1995,"€3022,74"
927,Lexus,LS,2006,"€7777,74"
928,Dodge,Caravan,2000,"€4757,54"
929,Mitsubishi,Mirage,1991,"€1618,94"
930,Cadillac,Eldorado,1995,"€23060,99"
931,Hyundai,Accent,2007,"€17669,39"
932,Pontiac,Grand Prix,1975,"€5274,09"
933,Mazda,B-Series Plus,1996,"€24832,24"
934,Mazda,MX-6,1995,"€12685,78"
935,Land Rover,Discovery,2012,"€3012,20"
936,Infiniti,G,1999,"€9844,47"
937,Buick,Somerset,1986,"€24275,46"
938,Hummer,H1,1997,"€15726,47"
939,GMC,Yukon XL 1500,2009,"€4709,68"
940,Buick,Electra,1987,"€22456,92"
941,Chevrolet,Corsica,1995,"€18925,49"
942,Mercury,Villager,2001,"€11806,23"
943,Toyota,Corolla,1995,"€24155,63"
944,Dodge,Ram 2500,2000,"€21721,30"
945,Suzuki,Esteem,2000,"€5582,68"
946,Chevrolet,Silverado 2500,2000,"€24111,56"
947,Saab,9000,1999,"€11219,59"
948,Mazda,Mazda5,2012,"€24784,67"
949,Ford,Aerostar,1987,"€18740,33"
950,Pontiac,Firebird,1989,"€3527,25"
951,Dodge,Grand Caravan,1994,"€9419,94"
952,Volkswagen,Eurovan,1999,"€10687,83"
953,Mercury,Grand Marquis,1986,"€11861,35"
954,Mazda,Familia,1986,"€11753,54"
955,Hyundai,Santa Fe,2011,"€6571,24"
956,Toyota,Corolla,1993,"€6854,23"
957,Oldsmobile,Achieva,1994,"€24951,67"
958,Mazda,B-Series,1993,"€4390,08"
959,Jeep,Grand Cherokee,1994,"€11437,59"
960,Buick,LaCrosse,2012,"€7642,83"
961,Oldsmobile,Ciera,1996,"€1160,94"
962,Toyota,Cressida,1992,"€4512,26"
963,BMW,M3,2009,"€15639,85"
964,Bentley,Azure,2007,"€13884,76"
965,Mazda,MX-5,2009,"€22225,47"
966,Ford,E-Series,2010,"€9735,31"
967,Chevrolet,Suburban 1500,2009,"€4235,06"
968,Jeep,Grand Cherokee,1998,"€11391,80"
969,Buick,Park Avenue,1999,"€4704,19"
970,Audi,A4,2000,"€9348,30"
971,Suzuki,SJ,1992,"€24199,76"
972,Chevrolet,Corvette,1963,"€22992,03"
973,Mercedes-Benz,C-Class,2007,"€16675,70"
974,Chevrolet,Camaro,1969,"€16154,17"
975,Oldsmobile,Silhouette,1993,"€6516,93"
976,Infiniti,G,2002,"€18645,47"
977,Buick,Skylark,1987,"€13123,20"
978,Ford,Bronco,1996,"€10955,26"
979,Maserati,Karif,1990,"€1796,86"
980,Toyota,Supra,1996,"€2928,09"
981,Buick,Riviera,1998,"€11807,83"
982,Chevrolet,Silverado 3500,2005,"€11956,82"
983,Ford,Econoline E250,1993,"€14152,07"
984,Toyota,Solara,2003,"€5315,12"
985,Mercury,Cougar,1990,"€23438,22"
986,Dodge,Ram 2500,1996,"€8587,31"
987,Ford,Econoline E150,2000,"€10236,28"
988,Chrysler,Town & Country,2010,"€20239,78"
989,Mazda,626,1994,"€18336,07"
990,Ford,E-Series,1988,"€7647,97"
991,Lincoln,Continental Mark VII,1988,"€6730,39"
992,Porsche,928,1990,"€1143,78"
993,Isuzu,Ascender,2004,"€23121,98"
994,Nissan,Quest,1999,"€14851,02"
995,Ferrari,612 Scaglietti,2008,"€4414,66"
996,Daihatsu,Rocky,1992,"€1846,12"
997,Acura,RL,2011,"€3393,93"
998,Pontiac,GTO,1973,"€6198,18"
999,GMC,Sonoma,2004,"€12685,80"
1000,Dodge,Ram 1500 Club,2000,"€14328,93"
